开盘,最高,最低,收盘,波幅,涨跌
1323.85,1327.13,1307.45,1316.2,0.0151 ,0.0000 
1316.19,1338.28,1313.92,1336.64,0.0185 ,0.0155 
1336.63,1351.52,1329.88,1342.63,0.0163 ,0.0045 
1343.04,1344.44,1335.11,1339.69,0.0070 ,-0.0022 
1339.69,1362.16,1339.69,1359.29,0.0168 ,0.0146 
1359.28,1362.58,1350.84,1352.64,0.0087 ,-0.0049 
1352.63,1355.58,1335.3,1336.84,0.0152 ,-0.0117 
1336.83,1337.11,1323.68,1326.49,0.0101 ,-0.0077 
1326.67,1335.96,1318.85,1334.46,0.0130 ,0.0060 
1334.46,1342.44,1333.42,1339.85,0.0068 ,0.0040 
1339.73,1342.28,1322.52,1325.33,0.0149 ,-0.0108 
1325.34,1329.5,1299.45,1301.63,0.0231 ,-0.0179 
1301.67,1307.98,1295.02,1304.21,0.0100 ,0.0020 
1304.23,1307.82,1294.86,1297.87,0.0100 ,-0.0049 
1299.29,1305.96,1289.32,1305.63,0.0129 ,0.0060 
1305.46,1322.14,1300.98,1319.79,0.0163 ,0.0108 
1319.75,1325.88,1312.27,1314.36,0.0104 ,-0.0041 
1314.41,1322.98,1313.79,1315.82,0.0070 ,0.0011 
1315.81,1317.49,1298.38,1303.84,0.0147 ,-0.0091 
1303.84,1313.08,1303.16,1306.06,0.0076 ,0.0017 
1306.28,1308.99,1288.05,1289.07,0.0163 ,-0.0130 
1289.1,1301.38,1288.1,1295.39,0.0103 ,0.0049 
1295.4,1320.02,1293.46,1318.5,0.0205 ,0.0178 
1318.49,1319.58,1304.45,1309.46,0.0116 ,-0.0069 
1309.46,1309.46,1309.46,1309.46,0.0000 ,0.0000 
